datetime_utc,temp_c,rh_pct,rain_mm,is_day,sunshine_sec,shortwave_wm2,wind_speed_ms,datetime_local,date,hour,dow,datetime_hour,RRP,TOTALDEMAND,REGION,datetime_utc_dt,is_weekend
2025-07-06 00:00:00+00:00,13.492,83.0,0.0,1.0,3600.0,326.0,3.6,2025-07-06 00:00:00+00:00,2025-07-06,10,6,2025-07-06 00:00:00+00:00,77.39459668133719,11409.226339506838,NSW1,2025-07-06 00:00:00+00:00,True
2025-07-06 00:00:00+00:00,13.492,83.0,0.0,1.0,3600.0,326.0,3.6,2025-07-06 00:00:00+00:00,2025-07-06,10,6,2025-07-06 00:00:00+00:00,97.82809121228672,11276.583481530384,NSW1,2025-07-06 00:00:00+00:00,True
2025-07-06 01:00:00+00:00,16.842,69.0,0.0,1.0,3600.0,453.0,9.3669195,2025-07-06 01:00:00+00:00,2025-07-06,11,6,2025-07-06 01:00:00+00:00,23.155713748973685,7510.830211787726,NSW1,2025-07-06 01:00:00+00:00,True
2025-07-06 01:00:00+00:00,16.842,69.0,0.0,1.0,3600.0,453.0,9.3669195,2025-07-06 01:00:00+00:00,2025-07-06,11,6,2025-07-06 01:00:00+00:00,26.410037462521487,9581.387475007015,NSW1,2025-07-06 01:00:00+00:00,True
2025-07-06 02:00:00+00:00,18.442,64.0,0.0,1.0,3600.0,512.0,12.261158,2025-07-06 02:00:00+00:00,2025-07-06,12,6,2025-07-06 02:00:00+00:00,41.4198402031993,7819.529778018749,NSW1,2025-07-06 02:00:00+00:00,True
2025-07-06 02:00:00+00:00,18.442,64.0,0.0,1.0,3600.0,512.0,12.261158,2025-07-06 02:00:00+00:00,2025-07-06,12,6,2025-07-06 02:00:00+00:00,48.44847575429101,9337.2363364957,NSW1,2025-07-06 02:00:00+00:00,True
2025-07-06 03:00:00+00:00,19.142,62.0,0.0,1.0,3600.0,511.0,12.620554,2025-07-06 03:00:00+00:00,2025-07-06,13,6,2025-07-06 03:00:00+00:00,59.47417604308795,9045.594423912473,NSW1,2025-07-06 03:00:00+00:00,True
2025-07-06 03:00:00+00:00,19.142,62.0,0.0,1.0,3600.0,511.0,12.620554,2025-07-06 03:00:00+00:00,2025-07-06,13,6,2025-07-06 03:00:00+00:00,53.40431125068592,7522.910681637348,NSW1,2025-07-06 03:00:00+00:00,True
2025-07-06 04:00:00+00:00,19.692,64.0,0.0,1.0,3600.0,452.0,12.605142,2025-07-06 04:00:00+00:00,2025-07-06,14,6,2025-07-06 04:00:00+00:00,48.22042211901465,9008.666489997186,NSW1,2025-07-06 04:00:00+00:00,True
2025-07-06 04:00:00+00:00,19.692,64.0,0.0,1.0,3600.0,452.0,12.605142,2025-07-06 04:00:00+00:00,2025-07-06,14,6,2025-07-06 04:00:00+00:00,43.07242299156677,9254.455544863007,NSW1,2025-07-06 04:00:00+00:00,True
