SETTLEMENTDATE,REGION,RRP,TOTALDEMAND,settlement_aest,settlement_local,SETTLEMENTDATE_dt
2025-07-06 00:00:00,NSW1,31.847445802236383,9810.984744386946,2025-07-06 00:00:00+10:00,2025-07-06 00:00:00+10:00,2025-07-06 00:00:00
2025-07-06 00:30:00,NSW1,43.81411532863816,7001.118297017497,2025-07-06 00:30:00+10:00,2025-07-06 00:30:00+10:00,2025-07-06 00:30:00
2025-07-06 01:00:00,NSW1,23.856279193146232,7974.086680134501,2025-07-06 01:00:00+10:00,2025-07-06 01:00:00+10:00,2025-07-06 01:00:00
2025-07-06 01:30:00,NSW1,48.18324004917339,7353.323684175671,2025-07-06 01:30:00+10:00,2025-07-06 01:30:00+10:00,2025-07-06 01:30:00
2025-07-06 02:00:00,NSW1,42.951754453605375,7156.446068344957,2025-07-06 02:00:00+10:00,2025-07-06 02:00:00+10:00,2025-07-06 02:00:00
2025-07-06 02:30:00,NSW1,48.944786912678296,8966.895334639825,2025-07-06 02:30:00+10:00,2025-07-06 02:30:00+10:00,2025-07-06 02:30:00
2025-07-06 03:00:00,NSW1,63.820515390861594,9636.910001537164,2025-07-06 03:00:00+10:00,2025-07-06 03:00:00+10:00,2025-07-06 03:00:00
2025-07-06 03:30:00,NSW1,39.87915912375835,6617.571597992205,2025-07-06 03:30:00+10:00,2025-07-06 03:30:00+10:00,2025-07-06 03:30:00
2025-07-06 04:00:00,NSW1,72.60664172320446,7570.819089689752,2025-07-06 04:00:00+10:00,2025-07-06 04:00:00+10:00,2025-07-06 04:00:00
2025-07-06 04:30:00,NSW1,59.16444590988349,7949.718123921359,2025-07-06 04:30:00+10:00,2025-07-06 04:30:00+10:00,2025-07-06 04:30:00
2025-07-06 05:00:00,NSW1,47.8541040052747,7707.150764097099,2025-07-06 05:00:00+10:00,2025-07-06 05:00:00+10:00,2025-07-06 05:00:00
2025-07-06 05:30:00,NSW1,44.54814456564647,7997.245528372381,2025-07-06 05:30:00+10:00,2025-07-06 05:30:00+10:00,2025-07-06 05:30:00
2025-07-06 06:00:00,NSW1,40.726487806680296,7516.096417598175,2025-07-06 06:00:00+10:00,2025-07-06 06:00:00+10:00,2025-07-06 06:00:00
2025-07-06 06:30:00,NSW1,67.27326366259872,9444.375429707528,2025-07-06 06:30:00+10:00,2025-07-06 06:30:00+10:00,2025-07-06 06:30:00
2025-07-06 07:00:00,NSW1,86.93147053486885,12237.139917891933,2025-07-06 07:00:00+10:00,2025-07-06 07:00:00+10:00,2025-07-06 07:00:00
2025-07-06 07:30:00,NSW1,81.68012272186557,10299.505723749058,2025-07-06 07:30:00+10:00,2025-07-06 07:30:00+10:00,2025-07-06 07:30:00
2025-07-06 08:00:00,NSW1,80.78513994167291,14566.785143456143,2025-07-06 08:00:00+10:00,2025-07-06 08:00:00+10:00,2025-07-06 08:00:00
2025-07-06 08:30:00,NSW1,116.1662836052165,11742.860613055198,2025-07-06 08:30:00+10:00,2025-07-06 08:30:00+10:00,2025-07-06 08:30:00
2025-07-06 09:00:00,NSW1,72.11551605383825,13264.393631246949,2025-07-06 09:00:00+10:00,2025-07-06 09:00:00+10:00,2025-07-06 09:00:00
2025-07-06 09:30:00,NSW1,69.13721905080264,12229.049454235508,2025-07-06 09:30:00+10:00,2025-07-06 09:30:00+10:00,2025-07-06 09:30:00
2025-07-06 10:00:00,NSW1,77.39459668133719,11409.226339506838,2025-07-06 10:00:00+10:00,2025-07-06 10:00:00+10:00,2025-07-06 10:00:00
2025-07-06 10:30:00,NSW1,97.82809121228672,11276.583481530384,2025-07-06 10:30:00+10:00,2025-07-06 10:30:00+10:00,2025-07-06 10:30:00
2025-07-06 11:00:00,NSW1,23.155713748973685,7510.830211787726,2025-07-06 11:00:00+10:00,2025-07-06 11:00:00+10:00,2025-07-06 11:00:00
2025-07-06 11:30:00,NSW1,26.410037462521487,9581.387475007015,2025-07-06 11:30:00+10:00,2025-07-06 11:30:00+10:00,2025-07-06 11:30:00
2025-07-06 12:00:00,NSW1,41.4198402031993,7819.529778018749,2025-07-06 12:00:00+10:00,2025-07-06 12:00:00+10:00,2025-07-06 12:00:00
2025-07-06 12:30:00,NSW1,48.44847575429101,9337.2363364957,2025-07-06 12:30:00+10:00,2025-07-06 12:30:00+10:00,2025-07-06 12:30:00
2025-07-06 13:00:00,NSW1,59.47417604308795,9045.594423912473,2025-07-06 13:00:00+10:00,2025-07-06 13:00:00+10:00,2025-07-06 13:00:00
2025-07-06 13:30:00,NSW1,53.40431125068592,7522.910681637348,2025-07-06 13:30:00+10:00,2025-07-06 13:30:00+10:00,2025-07-06 13:30:00
2025-07-06 14:00:00,NSW1,48.22042211901465,9008.666489997186,2025-07-06 14:00:00+10:00,2025-07-06 14:00:00+10:00,2025-07-06 14:00:00
2025-07-06 14:30:00,NSW1,43.07242299156677,9254.455544863007,2025-07-06 14:30:00+10:00,2025-07-06 14:30:00+10:00,2025-07-06 14:30:00
2025-07-06 15:00:00,NSW1,50.14694330513708,6175.346718169028,2025-07-06 15:00:00+10:00,2025-07-06 15:00:00+10:00,2025-07-06 15:00:00
2025-07-06 15:30:00,NSW1,38.3029142735678,9541.018406964587,2025-07-06 15:30:00+10:00,2025-07-06 15:30:00+10:00,2025-07-06 15:30:00
2025-07-06 16:00:00,NSW1,42.3146638522776,7950.903264725952,2025-07-06 16:00:00+10:00,2025-07-06 16:00:00+10:00,2025-07-06 16:00:00
2025-07-06 16:30:00,NSW1,38.926441114007865,8932.09362831775,2025-07-06 16:30:00+10:00,2025-07-06 16:30:00+10:00,2025-07-06 16:30:00
