datetime,region,hour,day_of_week,is_weekend,peak_period,temp_c,rh_pct,rain_mm,sunshine_sec,shortwave_wm2,wind_speed_ms,RRP,TOTALDEMAND,temp_bin,spike_flag,compound_highTemp_lowSolar_peakHour,RRP_lag_1h,RRP_lag_12h,RRP_lag_24h,TOTALDEMAND_lag_1h,TOTALDEMAND_lag_12h,TOTALDEMAND_lag_24h,RRP_rolling_3h,RRP_rolling_6h,RRP_rolling_24h,TOTALDEMAND_rolling_3h,TOTALDEMAND_rolling_6h,TOTALDEMAND_rolling_24h
2025-07-06 00:00:00+00:00,NSW1,10.0,6.0,1.0,other,13.492,83.0,0.0,3600.0,326.0,3.6,31.847445802236383,9810.984744386946,10-15°C,0.0,0.0,,,,,,,77.39459668133719,77.39459668133719,77.39459668133719,11409.226339506838,11409.226339506838,11409.226339506838
2025-07-06 00:30:00+00:00,NSW1,,,,,,,,,,,43.81411532863816,7001.118297017497,,,,,,,,,,,,,,,
2025-07-06 01:00:00+00:00,NSW1,11.0,6.0,1.0,off-peak,16.842,69.0,0.0,3600.0,453.0,9.3669195,23.856279193146232,7974.086680134501,15-20°C,0.0,0.0,77.39459668133719,,,11409.226339506838,,,66.12613388086586,66.12613388086586,66.12613388086586,10065.546677608316,10065.546677608316,10065.546677608316
2025-07-06 01:30:00+00:00,NSW1,,,,,,,,,,,48.18324004917339,7353.323684175671,,,,,,,,,,,,,,,
2025-07-06 02:00:00+00:00,NSW1,12.0,6.0,1.0,off-peak,18.442,64.0,0.0,3600.0,512.0,12.261158,42.951754453605375,7156.446068344957,15-20°C,0.0,0.0,23.155713748973685,,,7510.830211787726,,,53.24165586166367,53.24165586166367,53.24165586166367,9519.511457170143,9519.511457170143,9519.511457170143
2025-07-06 02:30:00+00:00,NSW1,,,,,,,,,,,48.944786912678296,8966.895334639825,,,,,,,,,,,,,,,
2025-07-06 03:00:00+00:00,NSW1,13.0,6.0,1.0,off-peak,19.142,62.0,0.0,3600.0,511.0,12.620554,63.820515390861594,9636.910001537164,15-20°C,0.0,0.0,41.4198402031993,,,7819.529778018749,,,49.45605573739336,53.44727587224248,53.44727587224248,9095.193617792009,9425.769720894126,9425.769720894126
2025-07-06 03:30:00+00:00,NSW1,,,,,,,,,,,39.87915912375835,6617.571597992205,,,,,,,,,,,,,,,
2025-07-06 04:00:00+00:00,NSW1,14.0,6.0,1.0,off-peak,19.692,64.0,0.0,3600.0,452.0,12.605142,72.60664172320446,7570.819089689752,15-20°C,0.0,0.0,59.47417604308795,,,9045.594423912473,,,46.229543805466726,52.86174049726643,52.86174049726643,8719.220864178078,9167.996135321491,9167.996135321491
2025-07-06 04:30:00+00:00,NSW1,,,,,,,,,,,59.16444590988349,7949.718123921359,,,,,,,,,,,,,,,
2025-07-06 05:00:00+00:00,NSW1,15.0,6.0,1.0,other,19.742,65.0,0.0,3600.0,268.0,11.183201,47.8541040052747,7707.150764097099,15-20°C,0.0,0.0,43.07242299156677,,,9254.455544863007,,,48.77019833051003,50.60649542047246,50.60649542047246,8424.665377590603,8956.898823990838,8956.898823990838
2025-07-06 05:30:00+00:00,NSW1,,,,,,,,,,,44.54814456564647,7997.245528372381,,,,,,,,,,,,,,,
2025-07-06 06:00:00+00:00,NSW1,16.0,6.0,1.0,other,19.842,61.0,0.0,1288.5284,129.0,9.779817,40.726487806680296,7516.096417598175,15-20°C,0.0,0.0,50.14694330513708,,,6175.346718169028,,,45.345575842330014,47.40081578986169,49.708029704590565,8405.748578324818,8750.471098058411,8954.990732015984
2025-07-06 06:30:00+00:00,NSW1,,,,,,,,,,,67.27326366259872,9444.375429707528,,,,,,,,,,,,,,,
2025-07-06 07:00:00+00:00,NSW1,17.0,6.0,1.0,peak,18.442,67.0,0.0,0.0,27.0,6.519877,86.93147053486885,12237.139917891933,15-20°C,0.0,0.0,38.926441114007865,,,8932.09362831775,,,48.61160320378209,47.4205735046244,51.161685579872696,8629.910553161462,8674.56570866977,8952.76190245748
2025-07-06 07:30:00+00:00,NSW1,,,,,,,,,,,81.68012272186557,10299.505723749058,,,,,,,,,,,,,,,
2025-07-06 08:00:00+00:00,NSW1,18.0,6.0,1.0,peak,16.892,71.0,0.0,0.0,0.0,5.1544156,80.78513994167291,14566.785143456143,15-20°C,0.0,0.0,78.90623368613538,,,9925.645755928452,,,60.28556882350654,55.37334703373522,54.746379041949474,10231.781763752331,9311.241731465729,9372.497533143496
2025-07-06 08:30:00+00:00,NSW1,,,,,,,,,,,116.1662836052165,11742.860613055198,,,,,,,,,,,,,,,
